SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
179	H11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
180	H12	jimmy161209	FAM	Unknown	36.062798			1.4622332E-4						Automatic Ct		Automatic			Automatic	0.051114295													
181	H13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
182	H14	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
183	H15	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
184	H16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
185	H17	jimmy161209	FAM	Unknown	36.461605			1.1508715E-4						Automatic Ct		Automatic			Automatic	0.051114295													
186	H18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
187	H19	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
188	H20	jimmy161209	FAM	Unknown	34.12482			4.6811052E-4						Automatic Ct		Automatic			Automatic	0.051114295													
189	H21	jimmy161209	FAM	Unknown	33.70653			6.0175295E-4						Automatic Ct		Automatic			Automatic	0.051114295													
190	H22	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
191	H23	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
192	H24	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
193	I1	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
194	I2	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
